"ANALYTE_SYNONYM_KEY"|"DEP_PRIMARY_ANALYTE_NAME"|"DEP_ANALYTE_ID"|"LONG_NAME"|"BEGIN_DATE"|"END_DATE"|"MODIFY_USER_NAME"|"MODIFY_TS"
"136"|"Azinphos methyl"|"86500"|"Guthion"|"01-JAN-2014 00:00:00"|""|""|""
"137"|"Azinphos methyl"|"86500"|"Methyl Azinphos"|"01-JAN-2014 00:00:00"|""|""|""
"138"|"Azinphos methyl"|"86500"|"Azinphos-methyl"|"01-JAN-2014 00:00:00"|""|""|""
"139"|"Fluorene"|"86737"|"9H-Fluorene"|"01-JAN-2014 00:00:00"|""|""|""
"140"|"2,6-Dichlorophenol"|"87650"|"Dichlorophenol, 2,6-"|"01-JAN-2014 00:00:00"|""|""|""
"141"|"Hexachlorobutadiene"|"87683"|"1,3-Hexachlorobutadiene"|"01-JAN-2014 00:00:00"|""|""|""
"142"|"Pentachlorophenol"|"87865"|"Pentachlorophenol (PCP)"|"01-JAN-2014 00:00:00"|""|""|""
"143"|"2,4,6-Trichlorophenol"|"88062"|"2,4,6-Trichlorophenol (TCPh)"|"01-JAN-2014 00:00:00"|""|""|""
"144"|"2-Nitroaniline"|"88744"|"2-Nitrobenzenamine"|"01-JAN-2014 00:00:00"|""|""|""
"145"|"2-Nitrophenol"|"88755"|"Nitrophenol, 2-"|"01-JAN-2014 00:00:00"|""|""|""
"146"|"Dinoseb"|"88857"|"2-(1-methylpropyl)-4,6-dinitrophenol"|"01-JAN-2014 00:00:00"|""|""|""
"147"|"Dinoseb"|"88857"|"2-sec-butyl-4,6-dinitrophenol"|"01-JAN-2014 00:00:00"|""|""|""
"148"|"Dinoseb"|"88857"|"DNBP"|"01-JAN-2014 00:00:00"|""|""|""
"149"|"Dinoseb"|"88857"|"DNBP, 4,6-Dinitro-2-sec-butylphenol"|"01-JAN-2014 00:00:00"|""|""|""
"150"|"2-Methylnaphthalene"|"91576"|"Methylnaphthalene, 2-"|"01-JAN-2014 00:00:00"|""|""|""
"151"|"2-Chloronaphthalene"|"91587"|"Chloronaphthalene-2"|"01-JAN-2014 00:00:00"|""|""|""
"152"|"2-Naphthylamine"|"91598"|"2-Naphthalenamine"|"01-JAN-2014 00:00:00"|""|""|""
"153"|"2-Naphthylamine"|"91598"|"beta-Naphthylamine"|"01-JAN-2014 00:00:00"|""|""|""
"154"|"3,3'-Dichlorobenzidine"|"91941"|"Dichlorobenzidine, 3,3'-"|"01-JAN-2014 00:00:00"|""|""|""
"155"|"4-Aminobiphenyl"|"92671"|"Aminodiphenyl, 4-"|"01-JAN-2014 00:00:00"|""|""|""
"156"|"2,4,5-TP"|"93721"|"2-(2,4,5-Trichlorophenoxy)propanoic Acid"|"01-JAN-2014 00:00:00"|""|""|""
"157"|"2,4,5-TP"|"93721"|"Silvex"|"01-JAN-2014 00:00:00"|""|""|""
"158"|"2,4,5-T"|"93765"|"(2,4,5-trichlorophenoxy)acetic acid"|"01-JAN-2014 00:00:00"|""|""|""
"159"|"2,4,5-T"|"93765"|"2,4,5-Trichlorophenoxyacetic Acid"|"01-JAN-2014 00:00:00"|""|""|""
"160"|"2,4,5-T"|"93765"|"2,4,5-T, Trichlorophenoxyacetic acid"|"01-JAN-2014 00:00:00"|""|""|""
"161"|"2,4-D"|"94757"|"2,4-Dichlorophenoxyacetic acid"|"01-JAN-2014 00:00:00"|""|""|""
"162"|"2,4-D"|"94757"|"2,4-D, Dichlorophenoxyacetic acid"|"01-JAN-2014 00:00:00"|""|""|""
"163"|"2,4-DB"|"94826"|"2,4-dichlorophenoxybutyric acid"|"01-JAN-2014 00:00:00"|""|""|""
"164"|"2,4-DB"|"94826"|"2,4-DB, Dichlorophenoxybutyric acid"|"01-JAN-2014 00:00:00"|""|""|""
"165"|"2-Methylphenol"|"95487"|"Cresol, o-"|"01-JAN-2014 00:00:00"|""|""|""
"166"|"o-Toluidine"|"95534"|"2-Methylbenzenamine"|"01-JAN-2014 00:00:00"|""|""|""
