Station Code,DateTimeStamp,Monitoring Program,Rep,F_Record,PO4F,F_PO4F,TP,F_TP,NH4F,F_NH4F,NO2F,F_NO2F,NO3F,F_NO3F,NO23F,F_NO23F,DIN,F_DIN,TN,F_TN,CHLA_N,F_CHLA_N,UncCHLa_N,F_UncCHLa_N,PHEA,F_PHEA,TSS,F_TSS,WTEM_N,F_WTEM_N,SALT_N,F_SALT_N,DO_N,F_DO_N,PH_N,F_PH_N,TURB_N,F_TURB_N,SECCHI,F_SECCHI,TKN,F_TKN,TON,F_TON,FECCOL,F_FECCOL
gtmpcnut,12/1/2013 14:30,2,1,,0.034,,0.064,,0.021,,0.002,,0.012,,0.015,,0.036,,0.495,,3.1,,4.2,,1.6,,9,,,,,,,,,,,,,,0.48,,0.459,,84,<1> (CHB)
gtmpcnut,12/1/2013 17:00,2,1,,0.041,,0.061,,0.022,,0.003,,0.011,,0.014,,0.036,,0.554,,1.7,,2.3,,0.94,,6,,,,,,,,,,,,,,0.54,,0.518,,100,<1> (CHB)
gtmpcnut,12/2/2013 19:30,2,1,,0.036,,0.057,,0.025,,0.002,,0.008,,0.01,,0.035,,0.51,,2.1,,2.8,,0.97,,6,,,,,,,,,,,,,,0.5,,0.475,,64,<1> (CHB)
gtmpcnut,12/2/2013 22:00,2,1,,0.03,,0.053,,0.013,,0.002,<1> [SBL],0.004,<1> [SBL],0.004,<1> [SBL],0.017,,0.424,,2.2,,2.9,,1,,9,,,,,,,,,,,,,,0.42,,0.407,,50,<1> (CHB)
gtmpcnut,12/2/2013 0:30,2,1,,0.032,,0.051,,0.015,,0.002,<1> [SBL],0.005,,0.007,,0.022,,0.387,,2.7,,3.7,,1.6,,8,,,,,,,,,,,,,,0.38,,0.365,,54,<1> (CHB)
gtmpcnut,12/2/2013 3:00,2,1,,0.038,,0.065,,0.03,,0.002,,0.012,,0.014,,0.044,,0.484,,1.7,,2.2,,0.73,,4,,,,,,,,,,,,,,0.47,,0.44,,64,<1> (CHB)
gtmpcnut,12/2/2013 5:30,2,1,,0.042,,0.062,,0.039,,0.003,,0.014,,0.017,,0.056,,0.497,,1.4,,1.7,,0.52,,8,,,,,,,,,,,,,,0.48,,0.441,,76,<1> (CHB)
gtmpcnut,12/2/2013 8:00,2,1,,0.034,,0.064,,0.023,,0.002,<1> [SBL],0.008,,0.01,,0.033,,0.44,,2.1,,3.2,,1.7,,14,,,,,,,,,,,,,,0.43,,0.407,,74,<1> (CHB)
gtmpcnut,12/2/2013 10:30,2,1,,0.024,,0.045,,0.01,,0.002,<1> [SBL],0.004,,0.006,,0.016,,0.316,,3.2,,4,,1.1,,8,,,,,,,,,,,,,,0.31,,0.3,,42,<1> (CHB)
gtmpinut,12/2/2013 10:40,1,1,,0.024,,0.055,,0.031,,0.004,,0.017,,0.021,,0.052,,0.601,,3.9,,5.1,,1.7,,14,,16.3,,29.77,,7.95,,7.77,,,,,,0.58,,0.549,,74,<1> (CHB)
gtmpinut,12/2/2013 10:46,1,2,,0.024,,0.057,,0.029,,0.004,,0.015,,0.019,,0.048,,0.649,,3.1,,4.1,,1.5,,14,,16.3,,29.77,,7.95,,7.77,,,,,,0.63,,0.601,,8,<1> [SUL] (CHB)
gtmssnut,12/2/2013 11:40,1,1,,0.02,,0.06,,0.023,,0.003,,0.019,,0.021,,0.044,,0.501,,3,,4,,1.5,,22,,16.7,,32.91,,7.35,,7.93,,,,,,0.48,,0.457,,26,<1> [SUL] (CHB)
gtmssnut,12/2/2013 11:41,1,2,,0.021,,0.052,,0.023,,0.003,,0.021,,0.024,,0.047,,0.364,,2.2,,2.6,,0.67,,24,<0> (CSM),16.7,,32.91,,7.35,,7.93,,,,,,0.34,,0.317,,11,<1> [SUL] (CHB)
