Station Code,DateTimeStamp,Monitoring Program,Rep,F_Record,PO4F,F_PO4F,TP,F_TP,NH4F,F_NH4F,NO2F,F_NO2F,NO3F,F_NO3F,NO23F,F_NO23F,DIN,F_DIN,TN,F_TN,TKN,F_TKN,TON,F_TON,CHLA_N,F_CHLA_N,UncCHLa_N,F_UncCHLa_N,PHEA,F_PHEA,TSS,F_TSS,FECCOL_CFU,F_FECCOL_CFU,ECOLI_MPN,F_ECOLI_MPN,WTEM_N,F_WTEM_N,SALT_N,F_SALT_N,DO_N,F_DO_N,PH_N,F_PH_N,SECCHI,F_SECCHI,DOC,F_DOC
gtmpcnut,2/17/2016 3:00:00 AM,2,1,,0.044,,0.073,,0.036,,0.003,<-4> [SBL],0.014,,0.017,,0.053,,0.847,,0.83,,0.794,,1.1,<-4> [SBL],1.2,,0.8,<-4> [SBL],4,,580,<1> (CHB),,<-1>,16.56,,4.4,,7.39,,7.16,,0.4,,,<-1>
gtmpcnut,2/17/2016 5:30:00 AM,2,1,,0.036,,0.069,,0.033,,0.004,,0.001,<-4> [SCB],0.005,,0.038,,0.815,,0.81,,0.777,,2.1,,2.8,,0.98,,8,,150,<1> (CHB),,<-1>,18.05,,13.63,,7.44,,7.43,,0.4,,,<-1>
gtmpcnut,2/17/2016 8:00:00 AM,2,1,,0.028,,0.061,,0.021,,0.003,,0.001,<-4> [SCB],0.004,<-4> [SBL],0.025,,0.684,,0.68,,0.659,,1.7,,2.3,,0.9,,9,,470,<1> (CHB),,<-1>,16.09,,16.68,,7.07,,7.55,,0.4,,,<-1>
gtmpcnut,2/17/2016 10:30:00 AM,2,1,,0.034,,0.063,,0.034,,0.004,<1> (CSM),0.001,<1> (CSM),0.005,,0.039,,0.665,,0.66,,0.626,,1.5,,2,,0.8,<-4> [SBL],9,,250,<1> (CHB),,<-1>,16.45,,14.48,,6.77,,7.42,,0.4,,,<-1>
gtmpinut,3/8/2016 10:55:00 AM,1,1,,0.013,,0.037,,0.014,,0.002,<-4> [SBL],0.002,<-4> [SCB],0.004,<-4> [SBL],0.018,,0.384,,0.38,,0.366,,3.4,,4,,0.81,,9,,2,<1> (CHB),,<-1>,17.9,,30.37,,6.62,,7.59,,1.3,,,<-1>
gtmpinut,3/8/2016 10:57:00 AM,1,2,,0.014,,0.036,,0.01,,0.002,<-4> [SBL],0.002,<-4> [SCB],0.004,<-4> [SBL],0.014,,0.464,,0.46,,0.45,,4.2,,5,,1.1,,9,,5,<1> (CHB),,<-1>,17.9,,30.37,,6.62,,7.59,,1.3,,,<-1>
gtmssnut,3/8/2016 12:20:00 PM,1,1,,0.012,,0.043,<1> (CSM),0.03,<1> (CUS),0.002,<-4> [SBL],0.006,<1> (CUS),0.008,<1> (CUS),0.038,,0.438,,0.43,,0.4,,3.6,,4.6,,1.5,,19,,10,<1> (CHB),,<-1>,18.7,,33.08,,6.97,,7.92,,0.9,,,<-1>
gtmssnut,3/8/2016 12:24:00 PM,1,2,,0.012,,0.052,<1> (CUS),0.031,,0.002,<-4> [SBL],0.007,,0.009,,0.04,,0.329,,0.32,<1> (CUS),0.289,,3.6,,4.7,,1.6,,20,,8,<1> (CHB),,<-1>,18.7,,33.08,,6.97,,7.92,,0.9,,,<-1>
gtmfmnut,3/8/2016 1:28:00 PM,1,1,,0.008,,0.026,,0.022,,0.002,<-4> [SBL],0.002,<-4> [SCB],0.004,<-4> [SBL],0.026,,0.274,,0.27,,0.248,,1,,1.1,,0.4,<-4> [SBL],6,,2,<1> (CHB),,<-1>,18.7,,33.63,,6.75,,7.94,,2,,,<-1>
gtmfmnut,3/8/2016 1:31:00 PM,1,2,,0.009,,0.027,,0.025,,0.002,<-4> [SBL],0.002,<-4> [SCB],0.004,<-4> [SBL],0.029,,0.324,,0.32,,0.295,,1.2,,1.3,,0.4,<-4> [SBL],6,,7,<1> (CHB),,<-1>,18.7,,33.63,,6.75,,7.94,,2,,,<-1>
